dbn,name,year,cohort_category,cohort_size,grads_num,grads_percent,regents_num,regents_percent_total,regents_percent_grad,advregents_num,advregents_percent_total,advregents_percent_grad,othregents_num,othregents_percent_total,othregents_percent_grad,local_num,local_percent_total,local_percent_grad,enrolled_num,enrolled_percent,drop_num,drop_percent
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year  June,71,44,62.0%,36,50.7%,81.8%,0,0.0%,0.0%,36,50.7%,81.8%,8,11.3%,18.2%,0,0.0%,19,26.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year August,71,44,62.0%,36,50.7%,81.8%,0,0.0%,0.0%,36,50.7%,81.8%,8,11.3%,18.2%,0,0.0%,19,26.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year  June,77,41,53.2%,28,36.4%,68.3%,0,0.0%,0.0%,28,36.4%,68.3%,13,16.9%,31.7%,25,32.5%,5,6.5%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year August,77,45,58.4%,29,37.7%,64.4%,0,0.0%,0.0%,29,37.7%,64.4%,16,20.8%,35.6%,22,28.6%,5,6.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,4 Year  June,64,46,71.9%,32,50.0%,69.6%,7,10.9%,15.2%,25,39.1%,54.3%,14,21.9%,30.4%,10,15.6%,6,9.4%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,5 Year,64,54,84.4%,34,53.1%,63.0%,7,10.9%,13.0%,27,42.2%,50.0%,20,31.3%,37.0%,0,0.0%,8,12.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,6 Year,64,54,84.4%,34,53.1%,63.0%,7,10.9%,13.0%,27,42.2%,50.0%,20,31.3%,37.0%,0,0.0%,8,12.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,4 Year  June,52,33,63.5%,19,36.5%,57.6%,8,15.4%,24.2%,11,21.2%,33.3%,14,26.9%,42.4%,16,30.8%,1,1.9%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5 Year,52,45,86.5%,24,46.2%,53.3%,8,15.4%,17.8%,16,30.8%,35.6%,21,40.4%,46.7%,2,3.8%,3,5.8%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,6 Year,52,45,86.5%,24,46.2%,53.3%,8,15.4%,17.8%,16,30.8%,35.6%,21,40.4%,46.7%,2,3.8%,3,5.8%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,4 Year  June,87,67,77.0%,39,44.8%,58.2%,11,12.6%,16.4%,28,32.2%,41.8%,28,32.2%,41.8%,9,10.3%,11,12.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,5 Year,87,72,82.8%,41,47.1%,56.9%,11,12.6%,15.3%,30,34.5%,41.7%,31,35.6%,43.1%,2,2.3%,13,14.9%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,6 Year,89,73,82.0%,41,46.1%,56.2%,11,12.4%,15.1%,30,33.7%,41.1%,32,36.0%,43.8%,1,1.1%,14,15.7%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,4 Year  June,112,75,67.0%,36,32.1%,48.0%,6,5.4%,8.0%,30,26.8%,40.0%,39,34.8%,52.0%,33,29.5%,4,3.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,5 Year,112,83,74.1%,38,33.9%,45.8%,6,5.4%,7.2%,32,28.6%,38.6%,45,40.2%,54.2%,7,6.3%,16,14.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,6 Year,109,84,77.1%,39,35.8%,46.4%,6,5.5%,7.1%,33,30.3%,39.3%,45,41.3%,53.6%,1,0.9%,19,17.4%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year  June,121,64,52.9%,35,28.9%,54.7%,4,3.3%,6.3%,31,25.6%,48.4%,29,24.0%,45.3%,41,33.9%,11,9.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year August,121,70,57.9%,35,28.9%,50.0%,4,3.3%,5.7%,31,25.6%,44.3%,35,28.9%,50.0%,35,28.9%,11,9.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,5 Year,116,81,69.8%,37,31.9%,45.7%,4,3.4%,4.9%,33,28.4%,40.7%,44,37.9%,54.3%,7,6.0%,21,18.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,6 Year,112,83,74.1%,37,33.0%,44.6%,4,3.6%,4.8%,33,29.5%,39.8%,46,41.1%,55.4%,1,0.9%,23,20.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year  June,124,53,42.7%,42,33.9%,79.2%,8,6.5%,15.1%,34,27.4%,64.2%,11,8.9%,20.8%,46,37.1%,20,16.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year August,124,60,48.4%,42,33.9%,70.0%,8,6.5%,13.3%,34,27.4%,56.7%,18,14.5%,30.0%,39,31.5%,20,16.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year  June,116,72,62.1%,43,37.1%,59.7%,8,6.9%,11.1%,35,30.2%,48.6%,29,25.0%,40.3%,11,9.5%,25,21.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year August,116,77,66.4%,44,37.9%,57.1%,8,6.9%,10.4%,36,31.0%,46.8%,33,28.4%,42.9%,6,5.2%,25,21.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year  June,150,99,66.0%,77,51.3%,77.8%,17,11.3%,17.2%,60,40.0%,60.6%,22,14.7%,22.2%,25,16.7%,17,11.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year August,150,106,70.7%,80,53.3%,75.5%,17,11.3%,16.0%,63,42.0%,59.4%,26,17.3%,24.5%,18,12.0%,17,11.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,4 Year  June,61,41,67.2%,40,65.6%,97.6%,0,0.0%,0.0%,40,65.6%,97.6%,1,1.6%,2.4%,7,11.5%,12,19.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,5 Year,61,45,73.8%,44,72.1%,97.8%,0,0.0%,0.0%,44,72.1%,97.8%,1,1.6%,2.2%,1,1.6%,14,23.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,6 Year,61,46,75.4%,45,73.8%,97.8%,0,0.0%,0.0%,45,73.8%,97.8%,1,1.6%,2.2%,0,0.0%,14,23.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,4 Year  June,72,45,62.5%,45,62.5%,100.0%,0,0.0%,0.0%,45,62.5%,100.0%,0,0.0%,0.0%,18,25.0%,7,9.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,5 Year,72,54,75.0%,52,72.2%,96.3%,0,0.0%,0.0%,52,72.2%,96.3%,2,2.8%,3.7%,5,6.9%,11,15.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,6 Year,72,55,76.4%,53,73.6%,96.4%,0,0.0%,0.0%,53,73.6%,96.4%,2,2.8%,3.6%,1,1.4%,14,19.4%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,4 Year  June,79,49,62.0%,44,55.7%,89.8%,0,0.0%,0.0%,44,55.7%,89.8%,5,6.3%,10.2%,20,25.3%,10,12.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,5 Year,79,59,74.7%,51,64.6%,86.4%,0,0.0%,0.0%,51,64.6%,86.4%,8,10.1%,13.6%,2,2.5%,17,21.5%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,6 Year,78,59,75.6%,51,65.4%,86.4%,0,0.0%,0.0%,51,65.4%,86.4%,8,10.3%,13.6%,1,1.3%,17,21.8%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,4 Year  June,80,58,72.5%,48,60.0%,82.8%,0,0.0%,0.0%,48,60.0%,82.8%,10,12.5%,17.2%,13,16.3%,9,11.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,5 Year,77,62,80.5%,50,64.9%,80.6%,0,0.0%,0.0%,50,64.9%,80.6%,12,15.6%,19.4%,3,3.9%,10,13.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,6 Year,78,63,80.8%,51,65.4%,81.0%,0,0.0%,0.0%,51,65.4%,81.0%,12,15.4%,19.0%,1,1.3%,11,14.1%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4 Year  June,85,61,71.8%,58,68.2%,95.1%,0,0.0%,0.0%,58,68.2%,95.1%,3,3.5%,4.9%,11,12.9%,9,10.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4 Year August,85,62,72.9%,59,69.4%,95.2%,0,0.0%,0.0%,59,69.4%,95.2%,3,3.5%,4.8%,10,11.8%,9,10.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,5 Year,86,63,73.3%,60,69.8%,95.2%,0,0.0%,0.0%,60,69.8%,95.2%,3,3.5%,4.8%,3,3.5%,11,12.8%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,6 Year,86,64,74.4%,61,70.9%,95.3%,0,0.0%,0.0%,61,70.9%,95.3%,3,3.5%,4.7%,1,1.2%,13,15.1%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4 Year  June,90,70,77.8%,67,74.4%,95.7%,0,0.0%,0.0%,67,74.4%,95.7%,3,3.3%,4.3%,15,16.7%,5,5.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4 Year August,90,71,78.9%,68,75.6%,95.8%,0,0.0%,0.0%,68,75.6%,95.8%,3,3.3%,4.2%,14,15.6%,5,5.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,5 Year  June,91,75,82.4%,72,79.1%,96.0%,0,0.0%,0.0%,72,79.1%,96.0%,3,3.3%,4.0%,6,6.6%,9,9.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,5 Year August,91,77,84.6%,74,81.3%,96.1%,0,0.0%,0.0%,74,81.3%,96.1%,3,3.3%,3.9%,4,4.4%,9,9.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,4 Year  June,89,56,62.9%,56,62.9%,100.0%,0,0.0%,0.0%,56,62.9%,100.0%,0,0.0%,0.0%,23,25.8%,7,7.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,4 Year August,89,63,70.8%,63,70.8%,100.0%,0,0.0%,0.0%,63,70.8%,100.0%,0,0.0%,0.0%,16,18.0%,7,7.9%
01M509,MARTA VALLE SECONDARY SCHOOL,2001,4 Year  June,69,34,49.3%,6,8.7%,17.6%,0,0.0%,0.0%,6,8.7%,17.6%,28,40.6%,82.4%,19,27.5%,10,14.5%
01M509,MARTA VALLE SECONDARY SCHOOL,2001,5 Year,69,45,65.2%,6,8.7%,13.3%,0,0.0%,0.0%,6,8.7%,13.3%,39,56.5%,86.7%,5,7.2%,13,18.8%
01M509,MARTA VALLE SECONDARY SCHOOL,2001,6 Year,69,47,68.1%,6,8.7%,12.8%,0,0.0%,0.0%,6,8.7%,12.8%,41,59.4%,87.2%,1,1.4%,15,21.7%
01M509,MARTA VALLE SECONDARY SCHOOL,2002,4 Year  June,55,22,40.0%,11,20.0%,50.0%,4,7.3%,18.2%,7,12.7%,31.8%,11,20.0%,50.0%,18,32.7%,11,20.0%
01M509,MARTA VALLE SECONDARY SCHOOL,2002,5 Year,55,33,60.0%,12,21.8%,36.4%,4,7.3%,12.1%,8,14.5%,24.2%,21,38.2%,63.6%,2,3.6%,14,25.5%
01M509,MARTA VALLE SECONDARY SCHOOL,2002,6 Year,55,34,61.8%,13,23.6%,38.2%,4,7.3%,11.8%,9,16.4%,26.5%,21,38.2%,61.8%,0,0.0%,15,27.3%
01M509,MARTA VALLE SECONDARY SCHOOL,2003,4 Year  June,70,31,44.3%,22,31.4%,71.0%,0,0.0%,0.0%,22,31.4%,71.0%,9,12.9%,29.0%,20,28.6%,18,25.7%
01M509,MARTA VALLE SECONDARY SCHOOL,2003,5 Year,70,41,58.6%,24,34.3%,58.5%,0,0.0%,0.0%,24,34.3%,58.5%,17,24.3%,41.5%,6,8.6%,20,28.6%
01M509,MARTA VALLE SECONDARY SCHOOL,2003,6 Year,68,42,61.8%,24,35.3%,57.1%,0,0.0%,0.0%,24,35.3%,57.1%,18,26.5%,42.9%,1,1.5%,22,32.4%
01M509,MARTA VALLE SECONDARY SCHOOL,2004,4 Year  June,65,29,44.6%,13,20.0%,44.8%,3,4.6%,10.3%,10,15.4%,34.5%,16,24.6%,55.2%,27,41.5%,8,12.3%
01M509,MARTA VALLE SECONDARY SCHOOL,2004,5 Year,64,34,53.1%,14,21.9%,41.2%,3,4.7%,8.8%,11,17.2%,32.4%,20,31.3%,58.8%,9,14.1%,15,23.4%
01M509,MARTA VALLE SECONDARY SCHOOL,2004,6 Year,65,38,58.5%,16,24.6%,42.1%,3,4.6%,7.9%,13,20.0%,34.2%,22,33.8%,57.9%,4,6.2%,17,26.2%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,4 Year  June,88,49,55.7%,38,43.2%,77.6%,18,20.5%,36.7%,20,22.7%,40.8%,11,12.5%,22.4%,20,22.7%,14,15.9%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,4 Year August,88,57,64.8%,41,46.6%,71.9%,18,20.5%,31.6%,23,26.1%,40.4%,16,18.2%,28.1%,12,13.6%,14,15.9%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,5 Year,90,64,71.1%,44,48.9%,68.8%,18,20.0%,28.1%,26,28.9%,40.6%,20,22.2%,31.3%,5,5.6%,15,16.7%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,6 Year,90,66,73.3%,45,50.0%,68.2%,18,20.0%,27.3%,27,30.0%,40.9%,21,23.3%,31.8%,1,1.1%,16,17.8%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,4 Year  June,84,47,56.0%,40,47.6%,85.1%,17,20.2%,36.2%,23,27.4%,48.9%,7,8.3%,14.9%,25,29.8%,5,6.0%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,4 Year August,84,50,59.5%,41,48.8%,82.0%,18,21.4%,36.0%,23,27.4%,46.0%,9,10.7%,18.0%,22,26.2%,5,6.0%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,5 Year  June,86,57,66.3%,43,50.0%,75.4%,18,20.9%,31.6%,25,29.1%,43.9%,14,16.3%,24.6%,4,4.7%,15,17.4%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,5 Year August,86,59,68.6%,45,52.3%,76.3%,18,20.9%,30.5%,27,31.4%,45.8%,14,16.3%,23.7%,2,2.3%,15,17.4%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,4 Year  June,95,47,49.5%,34,35.8%,72.3%,8,8.4%,17.0%,26,27.4%,55.3%,13,13.7%,27.7%,28,29.5%,15,15.8%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,4 Year August,95,53,55.8%,37,38.9%,69.8%,8,8.4%,15.1%,29,30.5%,54.7%,16,16.8%,30.2%,22,23.2%,15,15.8%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,4 Year  June,166,88,53.0%,36,21.7%,40.9%,0,0.0%,0.0%,36,21.7%,40.9%,53,31.9%,60.2%,45,27.1%,30,18.1%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,5 Year,166,108,65.1%,43,25.9%,39.8%,0,0.0%,0.0%,43,25.9%,39.8%,66,39.8%,61.1%,14,8.4%,41,24.7%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,6 Year,166,117,70.5%,45,27.1%,38.5%,0,0.0%,0.0%,45,27.1%,38.5%,73,44.0%,62.4%,3,1.8%,43,25.9%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,4 Year  June,172,77,44.8%,53,30.8%,68.8%,0,0.0%,0.0%,53,30.8%,68.8%,24,14.0%,31.2%,67,39.0%,28,16.3%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,5 Year,172,109,63.4%,72,41.9%,66.1%,12,7.0%,11.0%,60,34.9%,55.0%,37,21.5%,33.9%,24,14.0%,39,22.7%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,6 Year,172,116,67.4%,75,43.6%,64.7%,13,7.6%,11.2%,62,36.0%,53.4%,41,23.8%,35.3%,11,6.4%,45,26.2%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,4 Year  June,205,86,42.0%,71,34.6%,82.6%,48,23.4%,55.8%,23,11.2%,26.7%,15,7.3%,17.4%,80,39.0%,39,19.0%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,5 Year,205,106,51.7%,80,39.0%,75.5%,55,26.8%,51.9%,25,12.2%,23.6%,26,12.7%,24.5%,51,24.9%,48,23.4%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,6 Year,207,120,58.0%,87,42.0%,72.5%,58,28.0%,48.3%,29,14.0%,24.2%,33,15.9%,27.5%,32,15.5%,54,26.1%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,4 Year  June,200,97,48.5%,74,37.0%,76.3%,60,30.0%,61.9%,14,7.0%,14.4%,23,11.5%,23.7%,78,39.0%,25,12.5%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,5 Year,204,126,61.8%,97,47.5%,77.0%,74,36.3%,58.7%,23,11.3%,18.3%,29,14.2%,23.0%,42,20.6%,34,16.7%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,6 Year,208,129,62.0%,99,47.6%,76.7%,75,36.1%,58.1%,24,11.5%,18.6%,30,14.4%,23.3%,37,17.8%,40,19.2%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,4 Year  June,154,70,45.5%,56,36.4%,80.0%,45,29.2%,64.3%,11,7.1%,15.7%,14,9.1%,20.0%,64,41.6%,20,13.0%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,4 Year August,154,77,50.0%,59,38.3%,76.6%,46,29.9%,59.7%,13,8.4%,16.9%,18,11.7%,23.4%,57,37.0%,20,13.0%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,5 Year,167,104,62.3%,85,50.9%,81.7%,62,37.1%,59.6%,23,13.8%,22.1%,19,11.4%,18.3%,22,13.2%,38,22.8%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,6 Year,178,123,69.1%,94,52.8%,76.4%,63,35.4%,51.2%,31,17.4%,25.2%,29,16.3%,23.6%,10,5.6%,41,23.0%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,4 Year  June,193,105,54.4%,91,47.2%,86.7%,69,35.8%,65.7%,22,11.4%,21.0%,14,7.3%,13.3%,53,27.5%,35,18.1%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,4 Year August,193,105,54.4%,91,47.2%,86.7%,69,35.8%,65.7%,22,11.4%,21.0%,14,7.3%,13.3%,53,27.5%,35,18.1%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,5 Year  June,293,158,53.9%,131,44.7%,82.9%,78,26.6%,49.4%,53,18.1%,33.5%,27,9.2%,17.1%,32,10.9%,97,33.1%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,5 Year August,293,165,56.3%,137,46.8%,83.0%,78,26.6%,47.3%,59,20.1%,35.8%,28,9.6%,17.0%,27,9.2%,95,32.4%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,4 Year  June,235,74,31.5%,66,28.1%,89.2%,40,17.0%,54.1%,26,11.1%,35.1%,8,3.4%,10.8%,86,36.6%,70,29.8%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,4 Year August,235,81,34.5%,71,30.2%,87.7%,42,17.9%,51.9%,29,12.3%,35.8%,10,4.3%,12.3%,80,34.0%,69,29.4%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,4 Year  June,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,5 Year,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,6 Year,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2002,4 Year  June,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2002,5 Year,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2002,6 Year,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,4 Year  June,58,58,100.0%,57,98.3%,98.3%,49,84.5%,84.5%,8,13.8%,13.8%,1,1.7%,1.7%,0,0.0%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,5 Year,58,58,100.0%,57,98.3%,98.3%,49,84.5%,84.5%,8,13.8%,13.8%,1,1.7%,1.7%,0,0.0%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,6 Year,58,58,100.0%,57,98.3%,98.3%,49,84.5%,84.5%,8,13.8%,13.8%,1,1.7%,1.7%,0,0.0%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,4 Year  June,60,58,96.7%,58,96.7%,100.0%,54,90.0%,93.1%,4,6.7%,6.9%,0,0.0%,0.0%,0,0.0%,2,3.3%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,5 Year,60,58,96.7%,58,96.7%,100.0%,54,90.0%,93.1%,4,6.7%,6.9%,0,0.0%,0.0%,0,0.0%,1,1.7%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,6 Year,60,58,96.7%,58,96.7%,100.0%,54,90.0%,93.1%,4,6.7%,6.9%,0,0.0%,0.0%,0,0.0%,1,1.7%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,4 Year  June,49,47,95.9%,47,95.9%,100.0%,38,77.6%,80.9%,9,18.4%,19.1%,0,0.0%,0.0%,2,4.1%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,4 Year August,49,49,100.0%,48,98.0%,98.0%,39,79.6%,79.6%,9,18.4%,18.4%,1,2.0%,2.0%,0,0.0%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,5 Year,49,49,100.0%,48,98.0%,98.0%,39,79.6%,79.6%,9,18.4%,18.4%,1,2.0%,2.0%,0,0.0%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,6 Year,49,49,100.0%,48,98.0%,98.0%,39,79.6%,79.6%,9,18.4%,18.4%,1,2.0%,2.0%,0,0.0%,0,0.0%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,4 Year  June,46,46,100.0%,46,100.0%,100.0%,31,67.4%,67.4%,15,32.6%,32.6%,0,0.0%,0.0%,0,0.0%,0,0.0%
